# en	pos	category	level	tr   (single-word concepts only; the 50 words already in data/flashcards_data.php are excluded)
one	num	Numbers	A1	bir
two	num	Numbers	A1	iki
three	num	Numbers	A1	üç
four	num	Numbers	A1	dört
five	num	Numbers	A1	beş
six	num	Numbers	A1	altı
seven	num	Numbers	A1	yedi
eight	num	Numbers	A1	sekiz
nine	num	Numbers	A1	dokuz
ten	num	Numbers	A1	on
hundred	num	Numbers	A1	yüz
thousand	num	Numbers	A2	bin
red	adj	Colors	A1	kırmızı
blue	adj	Colors	A1	mavi
green	adj	Colors	A1	yeşil
yellow	adj	Colors	A1	sarı
black	adj	Colors	A1	siyah
white	adj	Colors	A1	beyaz
brown	adj	Colors	A2	kahverengi
son	n	Family	A1	oğul
daughter	n	Family	A1	kız
brother	n	Family	A1	erkek kardeş
sister	n	Family	A1	kız kardeş
husband	n	Family	A2	koca
wife	n	Family	A2	karı
baby	n	Family	A1	bebek
child	n	Family	A1	çocuk
man	n	Family	A1	adam
woman	n	Family	A1	kadın
boy	n	Family	A1	erkek çocuk
girl	n	Family	A1	kız çocuk
neighbor	n	Family	A2	komşu
head	n	Body	A1	baş
hand	n	Body	A1	el
eye	n	Body	A1	göz
ear	n	Body	A1	kulak
nose	n	Body	A1	burun
mouth	n	Body	A1	ağız
heart	n	Body	A1	kalp
foot	n	Body	A1	ayak
arm	n	Body	A2	kol
leg	n	Body	A2	bacak
face	n	Body	A2	yüz
hair	n	Body	A2	saç
rice	n	Food	A1	pirinç
meat	n	Food	A1	et
fish	n	Food	A1	balık
egg	n	Food	A1	yumurta
cheese	n	Food	A1	peynir
fruit	n	Food	A1	meyve
vegetable	n	Food	A2	sebze
sugar	n	Food	A1	şeker
salt	n	Food	A1	tuz
beer	n	Food	A2	bira
wine	n	Food	A2	şarap
breakfast	n	Food	A1	kahvaltı
potato	n	Food	A2	patates
tomato	n	Food	A2	domates
chicken	n	Food	A2	tavuk
orange	n	Food	A2	portakal
banana	n	Food	A2	muz
bed	n	House	A1	yatak
kitchen	n	House	A1	mutfak
bathroom	n	House	A2	banyo
garden	n	House	A1	bahçe
key	n	House	A1	anahtar
wall	n	House	A2	duvar
roof	n	House	A2	çatı
sun	n	Nature	A1	güneş
moon	n	Nature	A1	ay
star	n	Nature	A1	yıldız
sky	n	Nature	A1	gökyüzü
rain	n	Nature	A1	yağmur
snow	n	Nature	A1	kar
wind	n	Nature	A2	rüzgâr
tree	n	Nature	A1	ağaç
flower	n	Nature	A1	çiçek
sea	n	Nature	A1	deniz
river	n	Nature	A2	nehir
mountain	n	Nature	A2	dağ
fire	n	Nature	A2	ateş
dog	n	Nature	A1	köpek
cat	n	Nature	A1	kedi
bird	n	Nature	A1	kuş
horse	n	Nature	A2	at
cow	n	Nature	A2	inek
today	adv	Time	A1	bugün
tomorrow	adv	Time	A1	yarın
yesterday	adv	Time	A1	dün
now	adv	Time	A1	şimdi
hour	n	Time	A1	saat
minute	n	Time	A1	dakika
evening	n	Time	A1	akşam
airport	n	Travel	A1	havalimanı
plane	n	Travel	A1	uçak
bus	n	Travel	A1	otobüs
street	n	Travel	A1	sokak
map	n	Travel	A2	harita
passport	n	Travel	A2	pasaport
station	n	Travel	A2	istasyon
bridge	n	Travel	A2	köprü
taxi	n	Travel	A1	taksi
bag	n	Travel	A2	çanta
shirt	n	Shopping	A1	gömlek
dress	n	Shopping	A2	elbise
shoe	n	Shopping	A1	ayakkabı
teacher	n	Education	A1	öğretmen
student	n	Education	A1	öğrenci
language	n	Education	A1	dil
word	n	Education	A1	kelime
question	n	Education	A1	soru
answer	n	Education	A2	cevap
lesson	n	Education	A2	ders
paper	n	Education	A2	kâğıt
name	n	Education	A1	isim
work	n	Work	A1	iş
office	n	Work	A2	ofis
doctor	n	Work	A1	doktor
police	n	Work	A2	polis
company	n	Work	A2	şirket
computer	n	Work	A1	bilgisayar
telephone	n	Work	A1	telefon
letter	n	Work	A2	mektup
hospital	n	Work	A2	hastane
medicine	n	Work	A2	ilaç
bank	n	Work	A2	banka
angry	adj	Emotion	A2	kızgın
afraid	adj	Emotion	A2	korkmuş
hope	n	Emotion	A2	umut
fear	n	Emotion	A2	korku
dream	n	Emotion	A2	rüya
go	v	Actions	A1	gitmek
come	v	Actions	A1	gelmek
eat	v	Actions	A1	yemek
drink	v	Actions	A1	içmek
sleep	v	Actions	A1	uyumak
read	v	Actions	A1	okumak
write	v	Actions	A1	yazmak
speak	v	Actions	A1	konuşmak
listen	v	Actions	A1	dinlemek
see	v	Actions	A1	görmek
buy	v	Actions	A1	satın almak
sell	v	Actions	A2	satmak
give	v	Actions	A1	vermek
take	v	Actions	A1	almak
