# en	es	de	fr	zh	ja	ar     ('-' = no card for that language)   Chosen by hand, then verified against the dictionaries by build_vocab.py
one	uno	eins	un	一	一|いち	واحد
two	dos	zwei	deux	二	二|に	اثنان
three	tres	drei	trois	三	三|さん	ثلاثة
four	cuatro	vier	quatre	四	四	أربعة
five	cinco	fünf	cinq	五	五|ご	خمسة
six	seis	sechs	six	六	六|ろく	ستة
seven	siete	sieben	sept	七	七	سبعة
eight	ocho	acht	huit	八	八	ثمانية
nine	nueve	neun	neuf	九	九	تسعة
ten	diez	zehn	dix	十	十	عشرة
hundred	cien	hundert	cent	百	百	مائة
thousand	mil	tausend	mille	千	千	ألف
red	rojo	rot	rouge	红色	赤い	أحمر
blue	azul	blau	bleu	蓝色	青い	أزرق
green	verde	grün	vert	绿色	緑	أخضر
yellow	amarillo	gelb	jaune	黄色	黄色い	أصفر
black	negro	schwarz	noir	黑色	黒い	أسود
white	blanco	weiß	blanc	白色	白い	أبيض
brown	marrón	braun	marron	棕色	茶色	بني
son	hijo	Sohn	fils	儿子	息子	ابن
daughter	hija	Tochter	fille	女儿	娘	بنت
brother	hermano	Bruder	frère	哥哥	-	أخ
sister	hermana	Schwester	sœur	姐姐	-	أخت
husband	marido	Ehemann	mari	丈夫	夫	زوج
wife	esposa	Ehefrau	épouse	妻子	妻|つま	زوجة
baby	bebé	Baby	bébé	婴儿	赤ちゃん	رضيع
child	niño	Kind	enfant	孩子	子供	طفل
man	hombre	Mann	homme	男人	男	رجل
woman	mujer	Frau	femme	女人	女	امرأة
boy	chico	Junge	garçon	男孩	男の子	ولد
girl	chica	Mädchen	fillette	女孩	女の子	فتاة
neighbor	vecino	Nachbar	voisin	邻居	隣人	جار
head	cabeza	Kopf	tête	头	頭|あたま	رأس
hand	mano	Hand	main	手	手	يد
eye	ojo	Auge	œil	眼睛	目	عين
ear	oreja	Ohr	oreille	耳朵	耳	أذن
nose	nariz	Nase	nez	鼻子	鼻	أنف
mouth	boca	Mund	bouche	嘴	口	فم
heart	corazón	Herz	cœur	心	心臓	قلب
foot	pie	Fuß	pied	脚	足	قدم
arm	brazo	Arm	bras	胳膊	腕	ذراع
leg	pierna	Bein	jambe	腿	脚	ساق
face	cara	Gesicht	visage	脸	顔	وجه
hair	pelo	Haar	cheveu	头发	髪	شعر
rice	arroz	Reis	riz	米饭	米	أرز
meat	carne	Fleisch	viande	肉	肉	لحم
fish	pescado	Fisch	poisson	鱼	魚	سمك
egg	huevo	Ei	œuf	鸡蛋	卵	بيضة
cheese	queso	Käse	fromage	奶酪	チーズ	جبن
fruit	fruta	Obst	fruit	水果	果物	فاكهة
vegetable	verdura	Gemüse	légume	蔬菜	野菜	خضار
sugar	azúcar	Zucker	sucre	糖	砂糖	سكر
salt	sal	Salz	sel	盐	塩	ملح
beer	cerveza	Bier	bière	啤酒	ビール	بيرة
wine	vino	Wein	vin	葡萄酒	ワイン	نبيذ
breakfast	desayuno	Frühstück	petit-déjeuner	早餐	朝食	فطور
potato	patata	Kartoffel	pomme de terre	土豆	じゃがいも	بطاطس
tomato	tomate	Tomate	tomate	西红柿	トマト	طماطم
chicken	pollo	Huhn	poulet	鸡肉	鶏肉	دجاج
orange	naranja	Orange	orange	橙子	オレンジ	برتقال
banana	plátano	Banane	banane	香蕉	バナナ	موز
bed	cama	Bett	lit	床	ベッド	سرير
kitchen	cocina	Küche	cuisine	厨房	台所	مطبخ
bathroom	baño	Badezimmer	salle de bain	浴室	風呂場	حمام
garden	jardín	Garten	jardin	花园	庭	حديقة
key	llave	Schlüssel	clé	钥匙	鍵|かぎ	مفتاح
wall	pared	Wand	mur	墙	壁	جدار
roof	techo	Dach	toit	屋顶	屋根	سقف
sun	sol	Sonne	soleil	太阳	太陽	شمس
moon	luna	Mond	lune	月亮	月	قمر
star	estrella	Stern	étoile	星星	星	نجمة
sky	cielo	Himmel	ciel	天空	空	سماء
rain	lluvia	Regen	pluie	雨	雨	مطر
snow	nieve	Schnee	neige	雪	雪	ثلج
wind	viento	Wind	vent	风	風	ريح
tree	árbol	Baum	arbre	树	木	شجرة
flower	flor	Blume	fleur	花	花	زهرة
sea	mar	Meer	mer	海	海	بحر
river	río	Fluss	rivière	河	川	نهر
mountain	montaña	Berg	montagne	山	山	جبل
fire	fuego	Feuer	feu	火	火	نار
dog	perro	Hund	chien	狗	犬	كلب
cat	gato	Katze	chat	猫	猫	قطة
bird	pájaro	Vogel	oiseau	鸟	鳥	طائر
horse	caballo	Pferd	cheval	马	馬	حصان
cow	vaca	Kuh	vache	奶牛	牛	بقرة
today	hoy	heute	aujourd'hui	今天	今日|きょう	اليوم
tomorrow	mañana	morgen	demain	明天	明日|あした	غدا
yesterday	ayer	gestern	hier	昨天	昨日|きのう	أمس
now	ahora	jetzt	maintenant	现在	今	الآن
hour	hora	Stunde	heure	小时	時間	ساعة
minute	minuto	Minute	minute	分钟	分	دقيقة
evening	tarde	Abend	soir	晚上	夕方	مساء
airport	aeropuerto	Flughafen	aéroport	机场	空港	مطار
plane	avión	Flugzeug	avion	飞机	飛行機	طائرة
bus	autobús	Bus	bus	公共汽车	バス	حافلة
street	calle	Straße	rue	街道	通り	شارع
map	mapa	Karte	carte	地图	地図	خريطة
passport	pasaporte	Reisepass	passeport	护照	パスポート	جواز السفر
station	estación	Bahnhof	gare	车站	駅	محطة
bridge	puente	Brücke	pont	桥	橋	جسر
taxi	taxi	Taxi	taxi	出租车	タクシー	سيارة الأجرة
bag	bolso	Tasche	sac	包	かばん	حقيبة
shirt	camisa	Hemd	chemise	衬衫	シャツ	قميص
dress	vestido	Kleid	robe	裙子	ドレス	فستان
shoe	zapato	Schuh	chaussure	鞋	靴	حذاء
teacher	profesor	Lehrer	professeur	老师	先生	معلم
student	estudiante	Student	étudiant	学生	学生	طالب
language	idioma	Sprache	langue	语言	言語	لغة
word	palabra	Wort	mot	词	単語	كلمة
question	pregunta	Frage	question	问题	質問	سؤال
answer	respuesta	Antwort	réponse	答案	答え	جواب
lesson	lección	Lektion	leçon	课	授業	درس
paper	papel	Papier	papier	纸	紙	ورقة
name	nombre	Name	nom	名字	名前	اسم
work	trabajo	Arbeit	travail	工作	仕事	عمل
office	oficina	Büro	bureau	办公室	事務所	مكتب
doctor	médico	Arzt	médecin	医生	医者	طبيب
police	policía	Polizei	police	警察	警察	شرطة
company	empresa	Firma	entreprise	公司	会社	شركة
computer	ordenador	Computer	ordinateur	电脑	コンピューター	حاسوب
telephone	teléfono	Telefon	téléphone	电话	電話	هاتف
letter	carta	Brief	lettre	信	手紙	رسالة
hospital	hospital	Krankenhaus	hôpital	医院	病院	مستشفى
medicine	medicina	Medikament	médicament	药	薬	دواء
bank	banco	Bank	banque	银行	銀行	بنك
angry	enfadado	wütend	fâché	生气	怒る	غاضب
afraid	asustado	ängstlich	effrayé	害怕	怖い	خائف
hope	esperanza	Hoffnung	espoir	希望	希望	أمل
fear	miedo	Angst	peur	恐惧	恐怖	خوف
dream	sueño	Traum	rêve	梦	夢	حلم
go	ir	gehen	aller	去	行く	ذهب
come	venir	kommen	venir	来	来る	جاء
eat	comer	essen	manger	吃	食べる	أكل
drink	beber	trinken	boire	喝	飲む	شرب
sleep	dormir	schlafen	dormir	睡觉	寝る	نام
read	leer	lesen	lire	读	読む	قرأ
write	escribir	schreiben	écrire	写	書く	كتب
speak	hablar	sprechen	parler	说	話す	تكلم
listen	escuchar	hören	écouter	听	聞く	استمع
see	ver	sehen	voir	看见	見る	رأى
buy	comprar	kaufen	acheter	买	買う	اشترى
sell	vender	verkaufen	vendre	卖	売る	باع
give	dar	geben	donner	给	あげる	أعطى
take	tomar	nehmen	prendre	拿	取る	أخذ
want	querer	wollen	vouloir	想要	欲しい	أراد
know	saber	wissen	savoir	知道	知る	عرف
live	vivir	leben	vivre	住	住む	عاش
walk	caminar	spazieren	marcher	走	歩く	مشى
run	correr	rennen	courir	跑	走る	ركض
open	abrir	öffnen	ouvrir	开	開ける	فتح
close	cerrar	schließen	fermer	关	閉める	أغلق
help	ayudar	helfen	aider	帮助	助ける	ساعد
wait	esperar	warten	attendre	等	待つ	انتظر
